Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
999999	135955	668095	27932	Greek	Παῦλος	Παῦλος	Paulos	N-NMS	Noun - Nominative Masculine Singular		3972	Romans 1:1	<p class=|hdg|>Paul Greets the Saints in Rome		<p class=|reg|>			 Paul 	,			
999999	135956	668096	27932	Greek	δοῦλος	δοῦλος	doulos	N-NMS	Noun - Nominative Masculine Singular		1401							 a servant 				
999999	135957	668097	27932	Greek	Χριστοῦ	Χριστοῦ	Christou	N-GMS	Noun - Genitive Masculine Singular		5547							 of Christ 				
999999	135958	668098	27932	Greek	Ἰησοῦ	Ἰησοῦ	Iēsou	N-GMS	Noun - Genitive Masculine Singular		2424							 Jesus 	,			
999999	135959	668099	27932	Greek	κλητὸς	κλητὸς	klētos	Adj-NMS	Adjective - Nominative Masculine Singular		2822							 called [to be] 				
999999	135960	668100	27932	Greek	ἀπόστολος	ἀπόστολος	apostolos	N-NMS	Noun - Nominative Masculine Singular		652							 [an] apostle 	,			
999999	135961	668101	27932	Greek	ἀφωρισμένος	ἀφωρισμένος	aphōrismenos	V-RPM/P-NMS	Verb - Perfect Participle Middle or Passive - Nominative Masculine Singular		873							 [and] set apart 				
999999	135962	668102	27932	Greek	εἰς	εἰς	eis	Prep	Preposition		1519							 for 				
999999	135963	668103	27932	Greek	εὐαγγέλιον	εὐαγγέλιον	euangelion	N-ANS	Noun - Accusative Neuter Singular		2098							 [the] gospel 				
999999	135964	668104	27932	Greek	Θεοῦ	Θεοῦ	Theou	N-GMS	Noun - Genitive Masculine Singular		2316							 of God 	—			
999999	135965	668105	27932	Greek																		
999999	135966	668106	27932	Greek																		
999999	135967	668107	27932	Greek																		
999999	135968	668108	27932	Greek																		
999999	135969	668109	27932	Greek																		
